MolWt,MolLogP,NumHDonors,NumHAcceptors,RingCount,TPSA,NumRotatableBonds,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumAromaticHeterocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumAliphaticCarbocycles,NumHeteroatoms,FractionCSP3,HallKierAlpha,Kappa3,LabuteASA,BalabanJ,BCUT2D_MWHI,BCUT2D_MWLOW,EState_VSA1,EState_VSA2,CID
1749.0079999999978,-6.258899999999991,24,24,3,712.9199999999994,55,3,0,0,2,0,1,0,45,0.6075949367088608,-12.710000000000027,38.995045862184625,717.1234181863059,1.6475293280316752,16.36623390996945,9.961770572211684,247.8029185447758,80.06081537326001,76310210
611.1160000000004,4.025000000000004,1,7,7,109.52,6,3,2,4,1,2,2,2,11,0.3870967741935484,-3.3099999999999983,3.680188381305572,248.8676806363068,1.3136513267237337,35.49569293463811,9.48384388291783,33.18513965068431,23.389260439929814,129093916
663.8000000000003,5.9805200000000065,3,7,5,129.73000000000002,13,5,0,0,1,0,4,0,11,0.16216216216216217,-5.679999999999997,8.563392460451691,280.40575038290945,1.2679538875575893,32.23327400736138,10.021685479627516,10.023291153407584,22.45935476750469,166632206
428.5830000000002,4.2973000000000035,1,7,4,79.21,4,3,1,1,3,1,0,0,8,0.42857142857142855,-2.1599999999999993,4.101302868254739,177.98553151711295,1.5760205391506716,32.13746658654001,9.894645169329513,5.601050810983688,17.866926604660858,121305888
381.8060000000001,4.925700000000004,0,3,3,38.77,3,2,0,1,0,1,2,0,7,0.3157894736842105,-2.339999999999999,3.74891553988791,154.82004423480302,1.9584246241285292,35.49569170949741,10.027440302859429,6.611505086446101,23.740373220931332,54751924
379.41600000000005,2.811980000000001,0,6,3,92.52000000000001,4,2,1,1,1,1,1,0,7,0.3333333333333333,-3.399999999999999,4.118270868159166,163.05428330771778,1.7877047098806889,16.523811852499552,9.981966608929012,5.969305287951849,23.616438437944762,118736959
2899.3889999999956,-17.68870000000008,41,41,3,1292.1599999999994,96,1,2,2,1,2,0,0,80,0.6910569105691057,-19.74999999999996,68.38882478458186,1178.3469991776876,1.8223372704350274,32.16637668462749,9.96204402208567,455.0717999240423,158.0236885439298,44405027
477.5610000000002,5.428520000000004,1,5,5,75.44,5,4,1,1,2,1,2,0,8,0.2692307692307692,-3.5199999999999982,4.329538948749035,199.95851991166043,1.3506040835722937,32.1335682010185,10.003384393235146,0.0,23.673421128896866,25195495
439.4300000000002,4.481100000000004,0,5,3,57.23000000000001,8,2,1,1,0,1,2,0,9,0.4090909090909091,-2.9399999999999986,5.219469822199077,178.00423021305124,1.917668580122099,19.422451680410727,10.004767685952485,12.466325246778686,24.243288797695946,118731950
524.5590000000004,6.438740000000006,1,5,4,58.120000000000005,5,3,1,1,2,1,1,0,11,0.4,-3.0799999999999983,5.661869099173165,208.93267783724937,1.6031010873951566,32.13356845090837,9.876914750552217,48.494783810734496,18.056547178596063,130342272
334.42300000000006,4.561640000000003,2,3,3,57.260000000000005,3,3,0,0,1,0,2,0,5,0.2,-3.0799999999999983,3.711286220521454,147.235600547689,1.8181903576237526,16.161485109857058,10.136402816517865,0.0,6.031114512338072,54587458
424.9970000000002,6.2360600000000055,0,3,4,33.2,4,3,1,1,1,1,2,0,5,0.3333333333333333,-2.169999999999999,4.238135074545167,180.90887265615208,1.6105680773743458,35.495692358791906,10.020173258676518,0.0,11.949020558499466,127038817
2899.3889999999956,-17.68870000000008,41,41,3,1292.1599999999994,96,1,2,2,1,2,0,0,80,0.6910569105691057,-19.74999999999996,68.38882478458186,1178.3469991776876,1.8223372704350274,32.16637668462749,9.96204402208567,455.0717999240423,158.0236885439298,44405033
488.5590000000002,5.270000000000005,0,5,5,60.89000000000001,6,3,1,2,1,2,2,0,7,0.3103448275862069,-3.7099999999999977,5.913464291454591,209.8708064077821,1.4014272555231833,19.142149074003953,10.022732734948683,0.0,17.828366958145704,26344254
433.4470000000001,2.4720199999999997,0,8,5,90.96000000000001,5,4,1,1,3,1,1,0,10,0.22727272727272727,-3.919999999999998,3.873178949722512,182.60916011743916,1.3736875551392542,19.142159491907158,10.075791600351877,5.817220841045895,18.67983730599895,149910503
491.47200000000026,3.7211000000000025,0,7,4,98.27,6,3,0,1,1,1,2,0,12,0.18181818181818182,-3.929999999999998,3.749162244567436,193.69779075826412,1.8706963665111938,32.23342988699005,10.132610117420466,39.79705524544701,33.77974453103955,72721691
1780.0919999999971,-10.38529999999993,26,26,1,797.5199999999994,60,1,0,0,1,0,0,0,49,0.68,-11.890000000000022,43.24226591888648,722.150415591324,3.231690399620161,32.166370974913086,9.96202628897637,259.7519391032753,93.73935171432315,76317345
474.4620000000003,4.444300000000004,1,6,4,83.9,5,3,1,1,2,1,1,0,11,0.34782608695652173,-3.6299999999999986,4.973383631738273,192.8361908970114,1.577685482193056,19.413208002868046,9.892621948466093,23.46415057953787,35.84069855190535,117727828
340.81000000000006,4.195980000000003,0,3,3,53.33,1,2,0,1,0,1,2,0,5,0.2631578947368421,-2.5099999999999993,2.9544818221752402,145.76800788091242,2.009006303856581,35.49569155524073,10.010380023448436,0.0,17.990861387647428,57401580
491.58400000000023,4.606300000000005,0,7,4,66.46000000000001,10,3,0,1,0,1,3,0,7,0.3448275862068966,-3.709999999999998,5.739009717235686,212.04320555424007,1.6074166182205312,16.535129322629405,9.877106628337778,0.0,25.162784487525304,69758474
511.52000000000044,5.525320000000005,1,6,4,71.01,5,3,1,1,2,1,1,0,12,0.391304347826087,-3.1499999999999986,5.5775965829083525,201.78738370379924,1.5971231524413665,32.13356839288326,9.877349967242232,48.494783810734496,18.18702368174753,130341800
415.4190000000001,3.822300000000003,1,5,4,72.7,5,3,1,1,2,0,1,1,9,0.3333333333333333,-3.2299999999999986,4.342567538329401,170.68227077295776,1.4546995846256443,19.413184838020683,9.962654537392906,11.73975000914047,17.866926604660858,118308249
486.4690000000003,4.9676000000000045,0,5,6,68.21000000000001,5,3,3,3,2,2,1,1,10,0.36,-3.5599999999999983,4.44315131054846,198.5393369228311,1.4364916088286168,19.41320805530892,9.724907733873378,36.6019890274596,17.70507411194827,126762504
490.91700000000037,4.958600000000004,1,6,4,83.9,5,3,1,1,2,1,1,0,11,0.34782608695652173,-3.2699999999999982,5.272591814853981,198.94237528937154,1.5685951264407865,35.495692146662506,9.893008586957684,11.870226512291936,23.684789382495886,117728299
474.55200000000025,5.885120000000005,1,5,4,58.120000000000005,5,3,1,1,2,1,1,0,9,0.375,-2.9399999999999986,5.1853410472483805,194.23666491700027,1.5549117712043332,32.13348152194433,9.891215075617518,11.73975000914047,17.866926604660858,117728514
441.5350000000001,4.443620000000004,0,6,5,73.14,5,4,1,1,2,1,2,0,7,0.3076923076923077,-3.739999999999998,4.182433390745249,192.55578792641305,1.3554561653774888,16.48525195467849,9.898063519159427,0.0,17.866926604660858,45259004
429.88700000000017,3.2026000000000012,1,7,4,88.83,5,3,1,1,2,1,1,0,10,0.35,-3.0699999999999985,4.110879943125105,177.63394784513684,1.601548696862226,35.49569193269916,9.89622353210102,5.817220841045895,29.117764371041414,117727633
478.5930000000002,6.141720000000006,1,6,5,71.26,6,4,1,1,2,1,2,0,8,0.34615384615384615,-3.2599999999999985,4.419463651311966,201.3815879069598,1.4133214571477068,32.13356819516758,9.863144919842183,0.0,17.76624139954536,89748252
372.46900000000016,2.7700000000000005,1,6,3,80.48,5,2,1,1,2,1,0,0,7,0.55,-2.4099999999999993,4.1314468477713975,159.51798773464847,1.8145281643113809,16.48420566603387,9.978206571960985,5.601050810983688,17.990861387647428,121314173
343.8540000000001,4.886700000000004,0,2,3,29.54,2,2,0,1,0,1,2,0,4,0.35,-1.9999999999999996,3.1336805555555554,147.74037031384032,1.9895244752752073,35.495691552564104,9.998623392360852,0.0,17.990861387647428,57390997
463.6030000000002,3.801140000000003,1,5,4,73.1,8,4,0,0,1,0,3,0,7,0.2692307692307692,-3.1599999999999984,5.432769974344344,194.10276241535487,1.80180200057246,32.23310179406133,10.040860604343653,10.023291153407584,18.27634063326401,156272752
387.4840000000001,2.5535000000000005,1,7,3,93.37,5,2,1,1,2,1,0,0,8,0.6,-2.479999999999999,4.324388013937605,165.0710313983963,1.8183362752048622,16.49582103512791,9.984641423303414,5.601050810983688,24.09482777539573,121314167
498.46400000000034,2.632900000000001,0,7,4,117.60999999999999,4,3,0,1,2,1,1,0,14,0.10526315789473684,-3.5199999999999982,3.908470684095699,185.6378526066095,1.9087820263555786,32.23376688087724,10.147638306397912,71.85226175094678,9.200699466814008,145714283
510.66300000000024,5.7275200000000055,1,5,6,75.19,5,4,2,2,2,1,2,1,7,0.3333333333333333,-3.579999999999998,4.52552776644914,220.30729841526448,1.2778754115567177,32.1335685325648,9.782598737448941,0.0,17.85620028785097,71715500
