CID,Activity Type,Qualifier,Value,MolWt,MolLogP,NumHDonors,NumHAcceptors,RingCount,TPSA,NumRotatableBonds,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumAromaticHeterocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumAliphaticCarbocycles,NumHeteroatoms,FractionCSP3,HallKierAlpha,Kappa3,LabuteASA,BalabanJ,BCUT2D_MWHI,BCUT2D_MWLOW,EState_VSA1,EState_VSA2
86271586,Ki,>,10.0,422.2980000000002,4.097000000000003,1,4,3,54.46,4,2,1,1,1,1,1,0,7,0.3684210526315789,-2.1499999999999995,3.8223744956031593,160.2396972600808,1.786934692826737,79.91873122008535,9.958699047927611,5.817220841045895,29.303824712628327
86271586,Ki,>,10.0,422.2980000000002,4.097000000000003,1,4,3,54.46,4,2,1,1,1,1,1,0,7,0.3684210526315789,-2.1499999999999995,3.8223744956031593,160.2396972600808,1.786934692826737,79.91873122008535,9.958699047927611,5.817220841045895,29.303824712628327
90406170,Ki,>,10.0,418.33500000000015,4.348000000000003,1,4,3,54.46,5,2,1,1,1,1,1,0,6,0.4,-2.079999999999999,4.177633061223353,162.43910397155116,1.7544988226165774,79.91873121828658,9.95907952294079,0.0,17.990861387647428
90406170,Ki,>,10.0,418.33500000000015,4.348000000000003,1,4,3,54.46,5,2,1,1,1,1,1,0,6,0.4,-2.079999999999999,4.177633061223353,162.43910397155116,1.7544988226165774,79.91873121828658,9.95907952294079,0.0,17.990861387647428
117630073,Ki,>,10.0,433.3940000000002,2.5432,0,8,4,98.92,4,3,1,1,3,1,0,0,12,0.3684210526315789,-3.5699999999999985,4.319554009602263,174.44508345095298,1.5169119692506927,19.413229881453667,9.986468775570202,17.974192900040237,17.829008894934837
86271974,Ki,>,10.0,410.3670000000001,3.930100000000003,0,4,4,51.66,4,2,2,2,1,1,1,1,9,0.4,-2.839999999999999,3.607885891298852,163.79154986998438,1.5048981879008023,19.41320472255327,10.057027096928378,17.556970850186364,41.16384465382544
86271974,Ki,>,10.0,410.3670000000001,3.930100000000003,0,4,4,51.66,4,2,2,2,1,1,1,1,9,0.4,-2.839999999999999,3.607885891298852,163.79154986998438,1.5048981879008023,19.41320472255327,10.057027096928378,17.556970850186364,41.16384465382544
86271974,Ki,>,10.0,410.3670000000001,3.930100000000003,0,4,4,51.66,4,2,2,2,1,1,1,1,9,0.4,-2.839999999999999,3.607885891298852,163.79154986998438,1.5048981879008023,19.41320472255327,10.057027096928378,17.556970850186364,41.16384465382544
86271974,Ki,>,10.0,410.3670000000001,3.930100000000003,0,4,4,51.66,4,2,2,2,1,1,1,1,9,0.4,-2.839999999999999,3.607885891298852,163.79154986998438,1.5048981879008023,19.41320472255327,10.057027096928378,17.556970850186364,41.16384465382544
86271974,Ki,>,10.0,410.3670000000001,3.930100000000003,0,4,4,51.66,4,2,2,2,1,1,1,1,9,0.4,-2.839999999999999,3.607885891298852,163.79154986998438,1.5048981879008023,19.41320472255327,10.057027096928378,17.556970850186364,41.16384465382544
117637851,Ki,>,10.0,402.45800000000014,2.62744,0,7,5,93.99,4,3,2,2,3,1,0,1,8,0.3636363636363636,-3.4199999999999986,3.380869697639265,173.9515491586226,1.4129727073925609,16.506514216838216,10.05228239495965,0.0,18.052986946247767
117637851,Ki,>,10.0,402.45800000000014,2.62744,0,7,5,93.99,4,3,2,2,3,1,0,1,8,0.3636363636363636,-3.4199999999999986,3.380869697639265,173.9515491586226,1.4129727073925609,16.506514216838216,10.05228239495965,0.0,18.052986946247767
90405699,Ki,>,10.0,420.4880000000001,4.396500000000003,1,5,4,67.35,5,3,1,1,1,1,2,0,7,0.2916666666666667,-3.479999999999998,4.353280111691187,180.64889184145,1.5278403762377286,19.14226033375224,9.96033093638806,5.817220841045895,29.303824712628327
90405699,Ki,>,10.0,420.4880000000001,4.396500000000003,1,5,4,67.35,5,3,1,1,1,1,2,0,7,0.2916666666666667,-3.479999999999998,4.353280111691187,180.64889184145,1.5278403762377286,19.14226033375224,9.96033093638806,5.817220841045895,29.303824712628327
86270733,Ki,>,10.0,412.8810000000002,3.5936200000000023,1,7,4,97.04,4,3,1,1,3,1,0,0,9,0.35,-2.9999999999999987,4.070483225607879,172.90670266186837,1.5784364620861195,35.49569694417747,9.960674383718848,0.0,17.990861387647428
86270733,Ki,>,10.0,412.8810000000002,3.5936200000000023,1,7,4,97.04,4,3,1,1,3,1,0,0,9,0.35,-2.9999999999999987,4.070483225607879,172.90670266186837,1.5784364620861195,35.49569694417747,9.960674383718848,0.0,17.990861387647428
90404962,Ki,>,10.0,447.4210000000002,2.8516200000000005,0,8,4,98.92000000000002,4,3,1,1,3,1,0,0,12,0.4,-3.5699999999999985,4.385339427539911,180.81002556534963,1.5372318217154977,19.413189797042595,9.99046740689242,17.843716396888773,23.65341339293477
90404962,Ki,>,10.0,447.4210000000002,2.8516200000000005,0,8,4,98.92000000000002,4,3,1,1,3,1,0,0,12,0.4,-3.5699999999999985,4.385339427539911,180.81002556534963,1.5372318217154977,19.413189797042595,9.99046740689242,17.843716396888773,23.65341339293477
90405599,Ki,>,10.0,447.4210000000002,2.8516200000000005,0,8,4,98.92000000000002,4,3,1,1,3,1,0,0,12,0.4,-3.5699999999999985,4.385339427539911,180.81002556534963,1.5429318891775914,19.41318980542308,9.990742434983066,17.843716396888773,23.65341339293477
90405599,Ki,>,10.0,447.4210000000002,2.8516200000000005,0,8,4,98.92000000000002,4,3,1,1,3,1,0,0,12,0.4,-3.5699999999999985,4.385339427539911,180.81002556534963,1.5429318891775914,19.41318980542308,9.990742434983066,17.843716396888773,23.65341339293477
117630424,Ki,>,10.0,447.4210000000002,2.8516200000000005,0,8,4,98.92,4,3,1,1,3,1,0,0,12,0.4,-3.5699999999999985,4.385339427539911,180.81002556534963,1.5429318891775914,19.41323061854261,9.984244639431022,17.974192900040237,17.829008894934837
